APPLE,GOOGLE,MICROSOFT,IBM,AMAZON,BAIDU,ALIBABA,HUAWEI,SINA,JDCOM
175,1069.52,92.85,153.81,1493.45,249.75,181.99,70.2399,114.55,46.21
176.21,1078.92,93.05,154.49,1500.25,250.6,179.76,70.91,117.5,43.8
176.82,1090.93,93.64,156.95,1523.61,254.89,181.6,71.8399,117.62,42.99
176.67,1095.06,93.32,155.72,1537.64,258.73,187.37,71.67,121.42,43.14
175.03,1109.64,93.86,158.32,1545,257.26,189.05,71.7452,122.92,44.41
176.94,1126,94.43,156.21,1551.86,257.14,187.18,71.83,121.94,45.39
179.98,1160.04,96.54,159.31,1578.89,263.56,190.55,72.9799,121.91,45.71
181.72,1164.5,96.77,160.26,1598.39,265.67,192.74,72.93,118.87,46.01
179.97,1138.17,94.41,159.32,1588.18,258.35,188.41,72.7,117.71,44.32
178.44,1149.49,93.85,158.12,1591,259.35,192.56,72.32,118.46,44.09
178.65,1149.58,94.18,159.61,1582.32,262.71,199.06,72.22,118.56,44.94
178.02,1135.73,94.6,160.26,1571.68,262.39,200.28,72.395,116.8,44.97
175.3,1099.82,92.89,157.35,1544.93,252.83,194.53,71.2799,116.07,44.15
175.24,1097.71,93.13,156.2,1586.51,254.46,198.95,71.43,119.22,44
171.27,1090.88,92.48,156.69,1581.86,250.05,195.3,71.4134,117.52,43.51
168.85,1049.08,89.79,152.09,1544.92,236.11,184.65,70.095,109.55,42.51
164.94,1021.57,87.18,148.89,1495.56,230.08,181.2,68.58,106.86,40.87
172.77,1053.21,93.78,153.37,1555.86,235.94,190.5,70.11,110.27,41.85
168.34,1005.1,89.47,151.91,1497.05,230.96,181.89,69.0401,104.31,40.71
166.48,1004.56,89.39,152.52,1431.42,223.1,178.91,69.18,99.73,40.01
167.78,1031.79,91.27,153.43,1447.34,223.19,183.54,70.09,104.27,40.49
166.68,1006.47,88.52,150.07,1371.99,220.06,177.61,68.18,99.48,39.08
168.39,1013.41,89.71,149.85,1392.05,220.02,174.67,69.11,99.1,38.98
171.61,1025.14,92.33,154.12,1410.57,224.3,172.07,69.783,99.31,39.44
172.8,1027.81,92.38,154.03,1451.75,225.57,172.57,70.549,99.31,40.19
168.38,1007.04,90.23,150.57,1405.23,219.82,167.52,69.26,96.68,39.23
170.05,1015.45,90.77,152.69,1406.08,224.33,169.87,69.45,97.52,40.07
173.25,1031.64,92.88,155.39,1436.22,231.5,177.1,70.5,101.24,40.7
172.44,1019.97,91.86,155.36,1427.05,229.65,175.36,70.2588,100.52,40.46
174.14,1032.51,93.58,158.07,1448.5,231.34,175.92,70.781,98.82,40.6
174.73,1029.27,93.08,156.71,1430.79,228.17,172.04,70.64,93.37,39.8
175.82,1037.98,94.17,157.89,1441.5,229.9,174.7,71.44,94.81,39.93
178.24,1074.16,96.07,160.91,1503.83,235.67,178.7,71.93,96.26,40.27
177.84,1072.08,96.44,148.79,1527.84,237.75,182.68,71.8734,94.79,40.18
172.8,1087.7,96.11,147.7,1556.91,237.11,181.39,71.58,95.3,38.9
